,brand,item_name,min_price,max_price,min_product_size,max_product_size,store,product_size,unit,price,special_price,substitution,substitute_brand,substitute_productname,url
425,Neptune,Frozen Fish Fingers,5.4,5.4,1000,1000,East Village,1000,g,10.5,,1,Birds Eye,Frozen Fish Fingers 40 Pieces,https://www.coles.com.au/product/birds-eye-frozen-fish-fingers-40-pieces-1kg-292937
426,Neptune,Frozen Fish Fingers,5.4,5.4,1000,1000,Merrylands,1000,g,10.5,,1,Birds Eye,Frozen Fish Fingers 40 Pieces,https://www.coles.com.au/product/birds-eye-frozen-fish-fingers-40-pieces-1kg-292937
427,Nestle,Milo  Ready To Drink,4,4,600,600,East Village,,,,,,,,
428,Nestle,Milo  Ready To Drink,4,4,600,600,Merrylands,,,,,,,,
429,Nestle,Milo Ready To Drink 3 pack,4,4,600,600,East Village,,,,,,,,
430,Nestle,Milo Ready To Drink 3 pack,4,4,600,600,Merrylands,,,,,,,,
431,Nestle,Sustagen Vanilla Ready To Drink,5.9,5.9,750,750,East Village,,,,,,,,
432,Nestle,Sustagen Vanilla Ready To Drink,5.9,5.9,750,750,Merrylands,,,,,,,,
433,Oak,Iced coffee,4.5,4.5,2000,2000,East Village,2000,ml,5.8,,1,Oak,Iced Coffee Flavoured Milk,https://www.coles.com.au/product/oak-iced-coffee-flavoured-milk-2l-7888786
434,Oak,Iced coffee,4.5,4.5,2000,2000,Merrylands,2000,ml,5.8,,1,Oak,Iced Coffee Flavoured Milk,https://www.coles.com.au/product/oak-iced-coffee-flavoured-milk-2l-7888786
435,Oak,Strawberry milk,4.5,4.5,2000,2000,East Village,2000,ml,5.8,,,,,https://www.coles.com.au/product/oak-classic-strawberry-flavoured-milk-2l-5467233
436,Oak,Strawberry milk,4.5,4.5,2000,2000,Merrylands,2000,ml,5.8,,1,Oak,Classic Strawberry Flavoured Milk,https://www.coles.com.au/product/oak-classic-strawberry-flavoured-milk-2l-5467233
437,Pace,Pace Farm Fresh Jumbo Cage Eggs 12 pack,5,5.2,700,800,East Village,700,g,6.1,,1,Pace Farm,Liberty Cage Free Eggs 12 Pack,https://www.coles.com.au/product/pace-farm-liberty-cage-free-eggs-12-pack-700g-6949783
438,Pace,Pace Farm Fresh Jumbo Cage Eggs 12 pack,5,5.2,700,800,Merrylands,700,g,6.1,,1,Pace,Pace Farm Liberty Cage Free Eggs,https://www.coles.com.au/product/pace-farm-liberty-cage-free-eggs-12-pack-700g-6949783
439,Pauls,Greek Style Yoghurt 3.8%,10,10,2000,2000,East Village,2000,g,12.4,,1,Jalna,Pot Set Greek Style Natural Yoghurt,https://www.coles.com.au/product/jalna-pot-set-greek-style-natural-yoghurt-2kg-5763167
440,Pauls,Greek Style Yoghurt 3.8%,10,10,2000,2000,Merrylands,,,,,,,,
441,Primo,BBQ Sausages,5,5,800,800,East Village,,,,,,,,
442,Primo,BBQ Sausages,5,5,800,800,Merrylands,,,,,,,,
443,Primo,Dairy Cocktail Franks,3.15,3.15,500,500,East Village,1000,g,7.4,,1,Primo,Cocktail Frankfurts,https://www.coles.com.au/product/primo-cocktail-frankfurts-1-kg-4509983
444,Primo,Dairy Cocktail Franks,3.15,3.15,500,500,Merrylands,1000,g,7.4,,1,Primo,Cocktail Frankfurts,https://www.coles.com.au/product/primo-cocktail-frankfurts-1-kg-4509983
445,Primo,Dairy Thin Franks,3.15,3.15,500,500,East Village,1000,g,7.4,,1,Primo,Thin franks,https://www.coles.com.au/product/primo-thin-frankfurts-1-kg-4510009
446,Primo,Dairy Thin Franks,3.15,3.15,500,500,Merrylands,1000,g,7.4,,1,Primo,Thin franks,https://www.coles.com.au/product/primo-thin-frankfurts-1-kg-4510009
447,Primo,Frankfurts Slim,6.5,6.5,1000,1000,East Village,1000,g,7.4,,1,Primo,Thin Frankfurt,https://www.coles.com.au/product/primo-thin-frankfurt-1kg-2140871
448,Primo,Frankfurts Slim,6.5,6.5,1000,1000,Merrylands,1000,g,7.4,,1,Primo,Thin Frankfurt,https://www.coles.com.au/product/primo-thin-frankfurt-1kg-2140871
449,Pureharvest,Aussie Dream Rice Milk,2.2,2.2,1000,1000,East Village,1000,ml,2.6,,,,,https://www.coles.com.au/product/pureharvest-organic-aussie-dream-rice-milk-1l-5419194
450,Pureharvest,Aussie Dream Rice Milk,2.2,2.2,1000,1000,Merrylands,1000,ml,2.6,,,,,https://www.coles.com.au/product/pureharvest-organic-aussie-dream-rice-milk-1l-5419194
451,Royal Ebi,Basa Cutlets,8.5,8.5,1000,1000,East Village,1000,g,12,,,,,https://www.coles.com.au/product/royal-ebi-basa-cutlets-1kg-3626755
452,Royal Ebi,Basa Cutlets,8.5,8.5,1000,1000,Merrylands,1000,g,12,,,,,https://www.coles.com.au/product/royal-ebi-basa-cutlets-1kg-3626755
453,Sanitarium,UP&GO Liquid Breakfast Choc Ice,4.8,9.7,1000,1500,East Village,1500,ml,10.5,,1,Sanitarium,Up&Go Choc Ice Cereal,https://www.coles.com.au/product/sanitarium-upandgo-choc-ice-cereal-6x250ml-1.5l-9490791
454,Sanitarium,UP&GO Liquid Breakfast Choc Ice,4.8,9.7,1000,1500,Merrylands,1500,ml,10.5,,1,Sanitarium,Up&Go Choc Ice Cereal,https://www.coles.com.au/product/sanitarium-upandgo-choc-ice-cereal-6x250ml-1.5l-9490791
455,Sanitarium,UP&GO Liquid Breakfast Choc Ice 3 pack,4.95,4.95,750,750,East Village,750,ml,5.6,,,,,https://www.coles.com.au/product/sanitarium-upandgo-liquid-breakfast-chocolate-ice-3x250ml-750ml-7144632
456,Sanitarium,UP&GO Liquid Breakfast Choc Ice 3 pack,4.95,4.95,750,750,Merrylands,750,ml,5.6,,,,,https://www.coles.com.au/product/sanitarium-upandgo-liquid-breakfast-chocolate-ice-3x250ml-750ml-7144632
457,Sanitarium,Up&go Liquid Breakfast Choc Ice 6 pack,9.7,9.7,1500,1500,East Village,1500,ml,10.5,,1,Sanitarium,Up&Go Choc Ice Cereal,https://www.coles.com.au/product/sanitarium-upandgo-choc-ice-cereal-6x250ml-1.5l-9490791
458,Sanitarium,Up&go Liquid Breakfast Choc Ice 6 pack,9.7,9.7,1500,1500,Merrylands,1500,ml,10.5,,1,Sanitarium,Up&Go Choc Ice Cereal,https://www.coles.com.au/product/sanitarium-upandgo-choc-ice-cereal-6x250ml-1.5l-9490791
