,brand,item_name,min_price,max_price,min_product_size,max_product_size,store,product_size,price,special_price,substitution,substitute_brand,substitute_productname
269,Woolworths,Chickpea no added salt,0.8,0.8,420,420,Auburn,420,1.05,,,,
270,Woolworths,Chickpea no added salt,0.8,0.8,420,420,Burwood,420,1.05,,,,
271,Woolworths,Chips Crinkle Cut Original,1.6,1.6,175,175,Auburn,175,2.3,,,,
272,Woolworths,Chips Crinkle Cut Original,1.6,1.6,175,175,Burwood,175,2.3,,,,
273,Woolworths,Choc Hazelnut spread,4.3,4.3,750,750,Auburn,750,NA,,,,
274,Woolworths,Choc Hazelnut spread,4.3,4.3,750,750,Burwood,750,NA,,,,
275,Woolworths,Chunky Steakhouse Chips,2,2,1000,1000,Auburn,750,4.5,,,,
276,Woolworths,Chunky Steakhouse Chips,2,2,1000,1000,Burwood,700,5.5,,1,Potato Utopia ,Steakhouse Fries 
277,Woolworths,Classic Coleslaw,6.5,6.5,800,800,Auburn,800,6,,,,
278,Woolworths,Classic Coleslaw,6.5,6.5,800,800,Burwood,800,6,,,,
279,Woolworths,Cocktail Frankfurts,2.5,2.5,500,500,Auburn,500,3.2,,,,
280,Woolworths,Cocktail Frankfurts,2.5,2.5,500,500,Burwood,500,3.2,,,,
281,Woolworths,Cocoa Puffs,3.15,3.15,500,500,Auburn,500,4.5,,,,
282,Woolworths,Cocoa Puffs,3.15,3.15,500,500,Burwood,NA,NA,,,,
283,Woolworths,Cola,1,1,1000,1000,Auburn,1250,1.2,,,,
284,Woolworths,Cola,1,1,1000,1000,Burwood,1250,1.2,,,,
285,Woolworths,Corn Chips Supreme,1.9,1.9,200,200,Auburn,175,2.3,,,,
286,Woolworths,Corn Chips Supreme,1.9,1.9,200,200,Burwood,175,2.3,,,,
287,Woolworths,Country Loaf Wholemeal,2.7,2.7,750,750,Auburn,750,3.9,,,,
288,Woolworths,Country Loaf Wholemeal,2.7,2.7,750,750,Burwood,750,3.9,,,,
289,Woolworths,Creamy Potato Salad,6.5,6.5,800,800,Auburn,800,6,,,,
290,Woolworths,Creamy Potato Salad,6.5,6.5,800,800,Burwood,800,6,,,,
291,Woolworths,Crispy rice pops,1.8,1.8,350,350,Auburn,370,2.85,,,,
292,Woolworths,Crispy rice pops,1.8,1.8,350,350,Burwood,370,2.85,,,,
293,Woolworths,Crumpets,1.35,1.35,300,300,Auburn,300,2,,,,
294,Woolworths,Crumpets,1.35,1.35,300,300,Burwood,300,2,,,,
295,Woolworths,Crunchy Corn flakes,2.5,2.5,700,700,Auburn,670,4.95,,1,Woolworths,Honey Nut Corn Flakes
296,Woolworths,Crunchy Corn flakes,2.5,2.5,700,700,Burwood,375,3,,1,Woolworths,Free from Gluten Cereal Corn Flakes
297,Woolworths,Crunchy Honey Poppas,4.3,4.3,650,650,Auburn,650,4.3,,,,
298,Woolworths,Crunchy Honey Poppas,4.3,4.3,650,650,Burwood,NA,NA,,,,
299,Woolworths,Drought Relief Full Cream Milk,2.39,2.39,2000,2000,Auburn,2000,3.1,,,,
300,Woolworths,Drought Relief Full Cream Milk,2.39,2.39,2000,2000,Burwood,2000,3.1,,,,
301,Woolworths,Drought Relief Lite Milk,2.39,2.39,2000,2000,Auburn,2000,3.1,,,,
302,Woolworths,Drought Relief Lite Milk,2.39,2.39,2000,2000,Burwood,2000,3.1,,,,
303,Woolworths,Essentials Assorted Flavours Fruit Bars,3.7,3.7,500,500,Auburn,450,4.8,,1,Woolworths,Blueberry Oven Baked Fruit Bars 12 Pack
304,Woolworths,Essentials Assorted Flavours Fruit Bars,3.7,3.7,500,500,Burwood,500,5.2,,,,
305,Woolworths,Essentials Coconut Milk,0.95,0.95,400,400,Auburn,400,0.95,,,,
306,Woolworths,Essentials Coconut Milk,0.95,0.95,400,400,Burwood,400,0.95,,,,
307,Woolworths,Essentials Cooking Bacon,9,9,1000,1000,Auburn,1000,13.2,,,,
308,Woolworths,Essentials Cooking Bacon,9,9,1000,1000,Burwood,1000,13.2,,,,
309,Woolworths,Essentials Frozen Straight Cut Potato Chips,1.89,1.89,1000,1000,Auburn,1000,4,,,,
310,Woolworths,Essentials Frozen Straight Cut Potato Chips,1.89,1.89,1000,1000,Burwood,900,4.8,,1,Mccain,Superfries Straight Cut
311,Woolworths,Essentials Pasta Spirals,0.8,0.8,500,500,Auburn,500,0.9,,,,
312,Woolworths,Essentials Pasta Spirals,0.8,0.8,500,500,Burwood,500,1,,,,
313,Woolworths,Essentials Plain Flour,1,1,1000,1000,Auburn,1000,1.4,,,,
314,Woolworths,Essentials Plain Flour,1,1,1000,1000,Burwood,1000,1.4,,,,
315,Woolworths,Essentials Processed Bran Sticks,1.79,1.79,500,500,Auburn,500,NA,,,,
316,Woolworths,Essentials Processed Bran Sticks,1.79,1.79,500,500,Burwood,500,1.79,,,,
317,Woolworths,Essentials Salted Butter,5,5,500,500,Auburn,500,6.4,,,,
318,Woolworths,Essentials Salted Butter,5,5,500,500,Burwood,500,6.4,,,,
319,Woolworths,Essentials Strawberry Jam,1.4,1.4,500,500,Auburn,450,2.5,,1,Gardener,Strawberry Jam
320,Woolworths,Essentials Strawberry Jam,1.4,1.4,500,500,Burwood,375,2.8,,1,Cottee's,Strawberry Jam
321,Woolworths,Essentials Table Spread Soft And Spreadable,1.6,1.6,500,500,Auburn,500,2.3,,,,
322,Woolworths,Essentials Table Spread Soft And Spreadable,1.6,1.6,500,500,Burwood,500,2.3,,,,
323,Woolworths,Essentials tuna in Oil,1.3,1.3,185,185,Auburn,185,1.8,,,,
324,Woolworths,Essentials tuna in Oil,1.3,1.3,185,185,Burwood,185,1.8,,,,
325,Woolworths,Essentials Unsalted butter,5,5,500,500,Auburn,500,6.4,,,,
326,Woolworths,Essentials Unsalted butter,5,5,500,500,Burwood,500,6.4,,,,
327,Woolworths,Essentials Vanilla Ice Cream,2.75,2.75,2000,2000,Auburn,2000,4.5,,,,
328,Woolworths,Essentials Vanilla Ice Cream,2.75,2.75,2000,2000,Burwood,2000,4.5,,,,
329,Woolworths,Free From Gluten Cereal Cornflakes,3,3,375,375,Auburn,375,3,,,,
330,Woolworths,Free From Gluten Cereal Cornflakes,3,3,375,375,Burwood,375,3,,,,
331,Woolworths,Free From Gluten White bread,4.5,4.5,550,550,Auburn,440,6.25,,,,
332,Woolworths,Free From Gluten White bread,4.5,4.5,550,550,Burwood,440,6.25,,,,
333,Woolworths,Fresh Australian Grown Reindeer Carrots,2,2,1000,1000,Auburn,1000,2.4,,,,
334,Woolworths,Fresh Australian Grown Reindeer Carrots,2,2,1000,1000,Burwood,1000,2.4,,,,
335,Woolworths,Fresh broccoli,5.5,5.5,1000,1000,Auburn,150,0.99,,,,
336,Woolworths,Fresh broccoli,5.5,5.5,1000,1000,Burwood,150,1.29,,,,
337,Woolworths,Fresh cabbage,4.5,4.5,908,908,Auburn,NA,2.8,,,,
